user_id,attribution
1236805,Instagram
2836384,Partner
5118289,Partner
2497066,Facebook
2542664,Facebook
5473034,Friends Referral Program
3198797,Instagram
1323252,Facebook
5712034,Facebook
3202767,Facebook
986282,Instagram
8694993,Partner
8455470,Facebook
4625234,Adwords
9375925,Instagram
9616165,Partner
847622,Instagram
1984195,Instagram
7987178,Instagram
2224265,Instagram
461301,Instagram
2735716,Instagram
4866721,Facebook
8243752,Partner
4475144,Instagram
6061639,Facebook
2690339,Facebook
5786846,Instagram
9983978,Facebook
5262273,Partner
8878359,Partner
7256600,Instagram
2394881,Facebook
4646483,Facebook
7192267,Criteo
5546663,Adwords
9277176,Facebook
1195266,Instagram
4726920,Friends Referral Program
1463941,Instagram
8203987,Facebook
861174,Instagram
288187,Facebook
6293583,Friends Referral Program
8140201,Criteo
9679259,Adwords
6027644,Adwords
6046700,Instagram
4705153,Facebook
6232438,Facebook
4460890,Adwords
2136107,Instagram
1581620,Facebook
2103379,Instagram
61441,Criteo
2605307,Facebook
2478447,Instagram
2646043,Partner
8742909,Adwords
8240277,Partner
5768485,Instagram
2714458,Friends Referral Program
2164616,Instagram
2966413,Instagram
542208,Instagram
1054392,TV
1731477,Partner
3569773,Facebook
6800727,Partner
4637590,Facebook
116362,Partner
825114,Facebook
153512,Instagram
7737009,Facebook
2217949,Adwords
4986018,Instagram
2136724,Adwords
5818370,Instagram
8243411,Instagram
7915049,Facebook
9883891,Partner
7516621,Adwords
9671826,Instagram
7647480,Instagram
9869510,Adwords
3634832,Facebook
323716,Facebook
6397835,Facebook
8101183,Adwords
1957864,Instagram
4308775,Facebook
8075923,Criteo
7381952,Adwords
367739,Instagram
9166407,Adwords
5258822,Partner
1558848,Instagram
5594520,Facebook
7294149,Criteo
349611,Facebook
7404180,Facebook
4237475,Facebook
5399506,Instagram
346492,Partner
6935089,Facebook
2695317,Criteo
9875406,Adwords
8637740,Facebook
1573453,Adwords
1748602,Instagram
9570758,Instagram
4439603,Facebook
5759509,Instagram
7858613,Adwords
9744316,Instagram
2031557,Friends Referral Program
2598879,Adwords
3565870,Instagram
4131798,Criteo
9555922,Friends Referral Program
3819885,TV
2407483,Instagram
996687,Instagram
8605517,Facebook
4938883,Instagram
6049878,Facebook
8604244,Criteo
234966,Instagram
1911154,Adwords
7154596,Friends Referral Program
5796543,Adwords
839664,Friends Referral Program
2038350,Partner
9827353,Friends Referral Program
3471398,Instagram
4297408,Instagram
4958388,Facebook
1180591,Facebook
8062080,Criteo
8548411,Facebook
880230,Instagram
7618127,Friends Referral Program
973907,Facebook
7690650,Instagram
2255711,Adwords
8462196,Instagram
1146753,Instagram
2281569,Instagram
9001965,Instagram
8692756,Adwords
9915626,Instagram
9401841,Adwords
323622,Facebook
1215306,Instagram
3072875,Facebook
3357350,Facebook
6282501,Adwords
751811,Instagram
4210240,Instagram
476710,Instagram
9997379,Instagram
4387165,Criteo
2052076,Facebook
4903773,Facebook
9648123,Instagram
5060963,Adwords
1248186,Facebook
8335743,Criteo
183085,Instagram
4386909,Facebook
1965552,Instagram
9687331,Instagram
8386182,Criteo
3168242,Facebook
1595746,Instagram
531452,Instagram
5486240,Facebook
5071190,Instagram
9321772,Instagram
1106160,Partner
4826260,Facebook
7741143,Instagram
1581023,Instagram
1698819,Facebook
9122779,Instagram
7154481,Adwords
2581260,Instagram
5289751,Criteo
9327492,Facebook
711330,Facebook
9212505,Instagram
4732014,Facebook
8836855,Instagram
5140890,Instagram
1309787,Instagram
3258933,Instagram
2448943,Facebook
6157875,Adwords
8064922,Instagram
1654755,Facebook
8644179,Adwords
9934313,Criteo
722952,Facebook
7897915,Facebook
5109287,Facebook
9312907,Partner
640696,Instagram
6647535,Criteo
2136433,TV
7274978,Instagram
59946,Adwords
994927,Instagram
7269403,Adwords
